line_number,status,reasons,left_or_columns,right
996,rejected,source_tag,ᎤᏒᏃ ᏄᎵᏍᏔᏅ ᎤᎾᏂᏢᏅᎩ [ᏥᏌ] ᏔᎳᏚ ᎢᏯᏂᏛ ᎬᏩᏍᏓᏩᏗᏙᎯ,"Now when even was come, he was sitting at meat with the twelve disciples;"
1037,rejected,source_tag,"ᎯᎠ ᏂᏚᏪᏒᎩ; ᏰᎵᏉ ᏱᏥᏲᏍᏓ ᎤᏁᎳᏅᎯ ᎤᏤᎵ ᎤᏛᎾ-ᏗᎦᎳᏫᎢᏍᏗᏱ, ᏦᎢᏉᏃ ᏧᏙᏓᏆᏛ [ᏔᎵᏁ] ᏴᎦᏁᏍᎬᎵ.","and said, This man said, I am able to destroy the temple of God, and to build it in three days."
1197,rejected,source_tag,"ᎯᎠᏃ ᏄᎵᏍᏔᏁᎢ, ᎾᏍᎩ [ᏥᏌ] ᎦᏅᎬ ᎠᎵᏍᏓᏴᎲᏍᎬ ᎾᏍᎩ ᎦᏁᎸᎢ, ᎤᏂᏣᏖ ᎠᏕᎸ ᎠᏂᎩᏏᏙᎯ ᎠᎴ ᎠᏂᏍᎦᎾ ᎢᏧᎳᎭ ᏓᏂᏅᎨ ᏥᏌ ᎠᎴ ᎬᏩᏍᏓᏩᏗᏙᎯ; ᎤᏂᏣᏖᏰᏃ, ᎠᎴ ᎬᏩᏍᏓᏩᏗᏙᎮᎢ.","And it came to pass, that he was sitting at meat in his house, and many publicans and sinners sat down with Jesus and his disciples: for there were many, and they followed him."
1308,rejected,source_tag,"ᎠᎴ ᎬᏂᏳᏉ ᎤᎷᏤ ᎩᎶ ᎢᏳᏍᏗ ᏄᎬᏫᏳᏌᏕᎩ ᏗᎦᎳᏫᎢᏍᏗᏱ, ᏤᎳ ᏧᏙᎢᏛ; ᎤᎪᎲᏃ [ᏥᏌ] ᏚᎳᏍᎬ ᎤᏓᏅᏁᎢ,","And there cometh one of the rulers of the synagogue, Jairus by name; and seeing him, he falleth at his feet,"
1349,rejected,source_tag,"ᎡᎶᏛᏰᏃ ᎤᎸᏉᏗᏳ ᎨᏎ ᏣᏂ, ᎠᎦᏔᎮᏰᏃ ᎤᏓᏅᏘᏳ ᎠᎴ ᎾᏍᎦᏅᎾ ᎨᏒ ᎠᏍᎦᏯ, ᎠᎴ ᎤᎦᏌᏯᏍᏗᏳ ᎨᏎᎢ; ᎾᏍᎩᏃ ᎤᏛᎦᏅ [ᎠᏓᏥᏙᎲᏍᎬ,] ᎤᏣᏖ ᏚᎸᏫᏍᏓᏁᎴᎢ, ᎠᎴ ᎤᎵᎮᎵᏨᎯ ᎠᏛᏓᏍᏓᏁᎮᎢ.","for Herod feared John, knowing that he was a righteous and holy man, and kept him safe. And when he heard him, he was much perplexed; and he heard him gladly."
1352,rejected,source_tag,"ᎤᏎᎵᏓᏁᎴᏃ [ᎯᎠ ᏄᏪᏎᎢ,] ᎢᏳᏍᏗᏉ ᎮᎵᏍᎬ ᏍᎩᏔᏲᏏ, ᏓᎬᏁᎵᏃ, ᎾᏍᏉ ᎠᏰᎵ ᎢᏴᏛ ᏱᎩ ᎾᎿ ᎠᎩᎬᏫᏳᎯ ᎨᏒᎢ.","And he sware unto her, Whatsoever thou shalt ask of me, I will give it thee, unto the half of my kingdom."
1396,rejected,source_tag,"ᏂᎯᏍᎩᏂ ᎯᎠ ᏂᏥᏪᎭ, ᎢᏳᏃ ᎩᎶ ᎯᎠ ᏂᎦᏪᏎᎮᏍᏗ ᎤᏙᏓ ᎠᎴ ᎤᏥ, ᎪᏆᏂ, (ᎾᏍᎩ ᎦᏛᎬ, ᎠᏆᎵᏍᎪᎸᏔᏅᎯ,) ᏂᎦᎥ ᎨᏣᎵᏍᏕᎸᏙᏗ ᎨᏒ ᎠᏴ ᎬᏍᏕᎵᏍᎬᎢ; [ᎾᏍᎩ ᎤᏚᏓᎴᏛ ᎨᏎᏍᏗ.]","but ye say, If a man shall say to his father or his mother, That wherewith thou mightest have been profited by me is Corban, that is to say, Given to God;"
1436,rejected,source_tag,"[ᎬᏩᏍᏓᏩᏗᏙᎯᏃ] ᎤᏅᎨᏫᏒᎯ ᎨᏎ ᎦᏚ ᏧᎾᏕᏅᏗᏱ, ᎥᏝ ᎠᎴ ᏳᎶᏒᏍᏕ ᏌᏉ ᎦᏚ ᎤᏂᎸ ᏥᏳᎯ.",And they forgot to take bread; and they had not in the boat with them more than one loaf.
1442,rejected,source_tag,"ᎦᎵᏉᏗᏃ [ᎦᏚ] ᏅᎩ ᎢᏯᎦᏴᎵ ᏕᏥᏁᎸ, ᎢᎳᎪ ᎢᏯᎧᎵᎢ ᏔᎷᏣ ᎤᎵᎬᎭᎷᏴᎯ ᎢᏧᏖᏎᎢ? ᎦᎵᏉᎩ ᎤᎾᏛᏁᎢ.","And when the seven among the four thousand, how many basketfuls of broken pieces took ye up? And they say unto him, Seven."
1450,rejected,source_tag,"ᎯᎠᏃ ᏄᏂᏪᏎᎢ, ᏣᏂ ᏗᏓᏬᏍᎩ; ᎢᎦᏛᏍᎩᏂ ᎢᎳᏯ [ᎠᎾᏗᎭ;] ᎢᎦᏛᏃ, ᎩᎶ ᎢᏳᏍᏗ ᎠᎾᏙᎴᎰᏍᎩ.","And they told him, saying, John the Baptist; and others, Elijah; but others, One of the prophets."
1486,rejected,source_tag,"[ᎠᏓᏅᏙᏃ] ᎤᏪᎷᏅ, ᎠᎴ ᎤᏣᏘ ᎤᎩᎸᏅ, ᎤᏄᎪᏤᎢ; ᎠᎴ ᎤᏲᎱᏒᎯᏉ ᎾᏍᎩᏯ ᎨᏎᎢ; ᎾᏍᎩ ᎢᏳᏍᏗ ᎤᏂᏣᏖ, ᎠᏲᎱᎯ, ᎠᎾᏗᏍᎨᎢ.","And having cried out, and torn him much, he came out: and the boy became as one dead; insomuch that the more part said, He is dead."
1543,rejected,source_tag,"[ᎯᎠ ᏂᎦᏪᏍᎨᎢ;] ᎬᏂᏳᏉ ᏥᎷᏏᎵᎻ ᏫᏗᎦᏘ; ᎠᎴ ᏴᏫ ᎤᏪᏥ ᏙᏓᏰᏥᏲᏏ ᏄᏂᎬᏫᏳᏒ ᎠᏥᎸ ᎠᏁᎶᎯ ᎠᎴ ᏗᏃᏪᎵᏍᎩ ᏙᏓᎨᏥᏲᎯᏎᎵ; ᎠᎴ ᏙᏓᎬᏭᎪᏓᏁᎵ ᎤᏲᎱᎯᏍᏗᏱ, ᎠᎴ ᏧᎾᏓᎴᏅᏛ ᏴᏫ ᏫᏙᏛᏂᏲᎯᏎᎵ;","saying, Behold, we go up to Jerusalem; and the Son of man shall be delivered unto the chief priests and the scribes; and they shall condemn him to death, and shall deliver him unto the Gentiles:"
1561,rejected,source_tag,"ᏥᏌᏃ ᎤᏁᏨ ᎯᎠ ᏄᏪᏎᎴᎢ, ᎦᏙ ᏣᏚᎷ ᎬᏯᏛᏁᏗᏱ? ᏗᎨᏫᏃ ᎯᎠ ᏄᏪᏎᎴᎢ, ᏣᎬᏫᏳᎯ, ᎥᎠᎩᎪᏩᏛᏗᏱ [ᎠᏆᏚᎵᎭ.]","And Jesus answered him, and said, What wilt thou that I should do unto thee? And the blind man said unto him, Rabboni, that I may receive my sight."
1832,rejected,source_tag,"ᎠᎴ ᎢᎬᏱ ᏓᏳᏪᏅᎡᎵ [ᎤᎬᏫᏳᎯ] ᎢᎳᏯ ᎾᏍᎩᏯ ᎨᏎᏍᏗ ᎤᏓᏅᏙᎩ ᎠᎴ ᎤᎵᏂᎩᏗᏳ ᎨᏒᎢ, ᏔᎦᏔᎲᏍᏗᏱ ᏧᏂᎾᏫ ᎠᏂᎦᏴᎵᎨᎢ ᏗᏂᏲᎵ ᎢᏗᏢ ᏫᏚᎦᏔᎲᏍᏙᏗᏱ, ᎠᎴ ᏄᏃᎯᏳᏒᎾ ᏧᎦᏔᎲᏍᏗᏱ ᎤᎾᏓᏅᏘ ᎠᏂᎦᏔᎿᎥ ᎢᏗᏢ ᏫᏚᎦᏔᎲᏍᏙᏗᏱ; ᏧᏛᏅᎢᏍᏙᏗᏱ ᏴᏫ, ᎤᎬᏫᏳᎯ ᏧᏛᏅᎢᏍᏓᏁᏗᏱ.","And he shall go before his face in the spirit and power of Elijah, to turn the hearts of the fathers to the children, and the disobedient to walk in the wisdom of the just; to make ready for the Lord a people prepared for him."
2043,rejected,source_tag,"ᎤᏁᏤᎴᏃ ᎩᎶ ᎤᏃᏁᏗᏱ ᏂᎨᏒᎾ; ᎮᎾᏉᏍᎩᏂ, [ᎤᏬᏎᎴᎢ,] ᏫᏯᏓᎾᏄᎪᏫᏏ ᎠᏥᎸ-ᎨᎶᎯ, ᎠᎴ ᎼᏏ ᎤᏁᏨ ᏣᏓᏅᎦᎸᎲ ᎠᎵᏍᎪᎸᏙᏗ ᏫᎲᎦ, ᎾᏍᎩ ᎤᎾᏙᎴᎰᎯᏍᏙᏗ.","And he charged him to tell no man: but go thy way, and show thyself to the priest, and offer for thy cleansing, according as Moses commanded, for a testimony unto them."
2047,rejected,source_tag,"ᎠᎴ ᎬᏂᏳᏉ ᎩᎶ ᎢᏳᎾᏍᏗ ᎠᏂᏍᎦᏯ ᎤᏂᏃᎴ ᎠᏤᏍᏙᎩᎯ ᎦᏅᎨ ᎠᏍᎦᏯ ᎤᎸᏓᎸᎥᏍᎩ; ᎤᎾᏁᎶᎳᏁᏃ ᎤᏂᏴᏔᏂᎯᏍᏗᏱ, ᎠᎴ [ᏥᏌ] ᎢᎬᏱᏢ ᎤᏂᏅᏁᏗᏱ.","And behold, men bring on a bed a man that was palsied: and they sought to bring him in, and to lay him before him."
2100,rejected,source_tag,"ᎢᏳᏰᏃ ᎨᏥᎨᏳᎯᏉ [ᎤᏅᏒ] ᏱᏗᏥᎨᏳᎭ, ᎦᏙ ᎢᏥᎭ ᎦᏰᏣᎵᎡᎵᏤᏗ ᎨᏒᎢ? ᎠᏂᏍᎦᎾᏰᏃ ᎾᏍᏉ ᏚᏂᎨᏳᏐ ᎬᏩᏂᎨᏳᎯ.","And if ye love them that love you, what thank have ye? for even sinners love those that love them."
2110,rejected,too_long,"ᎠᎴ ᎦᏙ ᏱᎦᎵᏍᏙᏓ ᎯᎠ ᏱᏂᏪᏏ ᏗᏍᏓᏓᏅᏟ; ᏗᎾᏓᏅᏟ ᎬᎸᏏ ᎤᏢᏓᎸᏛ ᏣᎦᏑᎲᎢ, ᏨᏒᏃ ᏂᎪᏩᏘᏍᎬᎾ ᎤᏃᏍᏛ ᎠᏓ ᏨᏒ ᏣᎦᏑᎲᎢ? ᏣᏠᎾᏍᏗ! ᎢᎬᏱ ᎯᎸ ᎤᏃᏍᏛ ᎠᏓ ᏨᏒ ᏣᎦᏑᎲᎢ, ᎿᏉᏃ ᎬᏂᎨᏒᎢᏳ ᏣᎪᏩᏛᏗᏱ ᎨᏎᏍᏗ ᎯᎸᎡᏗᏱ ᎤᏢᏓᎸᏛ ᏗᏍᏓᏓᏅᏟ ᎤᎦᏑᎲᎢ.","Or how canst thou say to thy brother, Brother, let me cast out the mote that is in thine eye, when thou thyself beholdest not the beam that is in thine own eye? Thou hypocrite, cast out first the beam out of thine own eye, and then shalt thou see clearly to cast out the mote that is in thy brother’s eye."
2242,rejected,source_tag,"ᎤᏂᏁᏨᏃ ᎯᎠ ᏄᏂᏪᏎᎢ, ᏣᏂ ᏗᏓᏬᏍᎩ; ᎢᎦᏛᏍᎩᏂ ᎢᎳᏯ; ᎠᏂᏐᎢᏃ, ᎩᎶ ᎢᏳᏍᏗ ᎢᎸᎯᏳ ᎤᎾᏕᏅᎯ ᎠᎾᏙᎴᎰᏍᎩ ᏚᎴᎯᏌᏅ [ᎠᎾᏗᏍᎪᎢ.]","And they answering said, John the Baptist; but others say, Elijah; and others, that one of the old prophets is risen again."
2418,rejected,source_tag,"ᎣᏏᏳ ᎢᏳᎾᎵᏍᏓᏁᏗ ᎾᏍᎩ ᎨᏥᏅᏏᏓᏍᏗ, ᎤᏂᏅᏏᏙᎯ ᎦᎷᏨᎭ ᏓᏩᏛᎲᎭ ᎠᏂᏯᏫᏍᎬᎢ; ᎤᏙᎯᏳᎯᏯ ᎢᏣᏲᏎᎭ ᏛᏓᏠᎵ ᎤᏩᏒ, ᎠᎴ ᏙᏓᎧᏁᏤᎵ ᎤᎾᏂᏢᏗᏱ [ᎤᎾᎵᏍᏓᏴᏗᏱ,] ᎠᎴ ᏓᎦᎷᏥ ᏙᏛᏍᏕᎸᎯ.","Blessed are those servants, whom the lord when he cometh shall find watching: verily I say unto you, that he shall gird himself, and make them sit down to meat, and shall come and serve them."
2485,rejected,source_tag,"ᎡᏣᏯᏂᏍᎨᏍᏗᏍᎩᏂ, ᎮᎨᏍᏗ ᎠᎴ ᏣᏂᏏᎲᏍᎨᏍᏗ ᎡᎳᏗ ᎨᏒ ᏗᏂᏢᏗᏱ; ᎾᏍᎩᏃ ᏫᏣᏯᏅᏛ ᎦᎷᎨᏍᏗ, ᎯᎠ ᎢᏳᏣᏪᏎᏗ ᏱᎩ, ᎩᎾᎵᎢ, ᎦᎸᎳᏗᏢᏍᏙᏗ ᏫᎶᎯ; ᎿᏉ ᎡᏣᎸᏉᏗᏳ ᎨᏎᏍᏗ ᎠᏂᎦᏔᎲ ᎢᏧᎳᎭ ᎢᏥᏂᏜᎢ [ᏗᎵᏍᏓᏴᏗᏱ.]","But when thou art bidden, go and sit down in the lowest place; that when he that hath bidden thee cometh, he may say to thee, Friend, go up higher: then shalt thou have glory in the presence of all that sit at meat with thee."
2491,rejected,source_tag,"ᎠᎴ [ᏥᏌ] ᎯᎠ ᏄᏪᏎᎴᎢ, ᎩᎶ ᎢᏳᏍᏗ ᎠᏍᎦᏯ ᎤᏣᏘ ᏚᏕᎳᏍᏔᏁᎢ, ᎠᎴ ᎤᏂᏣᏘ ᏫᏚᏯᏅᎮᎢ;","But he said unto him, A certain man made a great supper; and he bade many:"
2681,rejected,source_tag,"[ᏥᏌᏃ] ᎾᏍᎩ ᏄᏪᏒ, ᎢᎬᏱ ᎤᏪᏅᎭ ᎤᎿᎷᏎ ᏥᎷᏏᎵᎻ ᏩᎦᏖᎢ.","And when he had thus spoken, he went on before, going up to Jerusalem."
2970,rejected,source_tag,ᎾᏍᎩ [ᎧᏃᎮᏛ] ᎬᏂᏛ ᎤᏪᎮᎢ; ᎠᎴ ᎾᏍᎩ ᎬᏂᏛ ᏴᏫ ᎢᎦ ᎤᎾᏘᏍᏓᏁᎯ ᎨᏎᎢ.,In him was life; and the life was the light of men.
2981,rejected,source_tag,"ᏣᏂ ᎧᏃᎮᏍᎬᎩ ᎾᏍᎩ [ᎧᏃᎮᏛ,] ᎠᎴ ᎤᏪᎷᏅᎩ ᎯᎠ ᏄᏪᏒᎩ; ᎯᎠ ᎾᏍᎩ ᏥᏥᏃᎮᏍᎬᎩ, ᎯᎠ ᏥᏂᏥᏪᏍᎬᎩ, ᎣᏂ ᏨᏓᏯᎢ ᎢᎬᏱ ᎠᎦᎴᏗ, ᎾᏍᎩᏰᏃ ᎡᎲᎩ ᎠᏏ ᏂᎨᎥᎾ ᏥᎨᏒᎩ.","John beareth witness of him, and crieth, saying, This was he of whom I said, He that cometh after me is become before me: for he was before me."
3006,rejected,source_tag,"ᎠᏏᏴᏫ ᎾᏍᎩ Ꮎ ᎠᏂᏔᎵ ᏣᏂ ᎤᎾᏛᎦᏁᎸᎯ, ᎠᎴ [ᏥᏌ] ᎤᏂᏍᏓᏩᏛᏛ, ᎾᏍᎩ ᎡᏂᏗ ᎨᏒᎩ, ᏌᏩᏂ ᏈᏓ ᏗᎾᏓᏅᏟ.","One of the two that heard John speak, and followed him, was Andrew, Simon Peter’s brother."
3104,rejected,source_tag,ᏥᏌ ᎯᎠ ᏄᏪᏎᎴᎢ; ᎠᏴ ᏥᎬ ᏬᏁᏗᎭ ᎾᏍᎩ [ᎺᏌᏯ.],"Jesus saith unto her, I that speak unto thee am he."
3149,rejected,source_tag,"ᎠᏎᏃ ᏥᏌ ᏚᏁᏤᎸᎩ [ᎯᎠ ᏂᏚᏪᏎᎸᎩ,] ᎡᏙᏓ ᎪᎯ ᎢᏯᏍᏘ ᏚᎸᏫᏍᏓᏁᎰᎢ, ᎠᏴᏃ ᎾᏍᏉ ᏓᎩᎸᏫᏍᏓᏁᎰᎢ.","But Jesus answered them, My Father worketh even until now, and I work."
3151,rejected,source_tag,"ᎿᏉᏃ ᏥᏌ ᎤᏁᏨ ᎯᎠ ᏂᏚᏪᏎᎸᎩ; ᎤᏙᎯᏳᎯᏯ ᎤᏙᎯᏳᎯᏯ ᎯᎠ ᏂᏨᏪᏎᎭ; [ᎤᏁᎳᏅᎯ] ᎤᏪᏥ ᎥᏝ ᏰᎵᎦ ᎪᎱᏍᏗ ᎤᏩᏒ ᎨᏒ ᏱᏙᎬᏩᎸᏫᏍᏓᏏ, ᎠᎪᏩᏘᏍᎬᏍᎩᏂ ᎤᏙᏓ ᏚᎸᏫᏍᏓᏁᎲᎢ; ᎾᏍᎩᏰᏃ ᏄᏍᏛ ᏚᎸᏫᏍᏓᏁᎲᎢ ᎾᏍᎩ ᎾᏍᏉ ᎤᏪᏥ ᏚᎸᏫᏍᏓᏁᎰᎢ.","Jesus therefore answered and said unto them, Verily, verily, I say unto you, The Son can do nothing of himself, but what he seeth the Father doing: for what things soever he doeth, these the Son also doeth in like manner."
3363,rejected,source_tag,"[ᏥᏌᏃ] ᎤᎶᏒ ᎤᎪᎲᎩ ᎠᏍᎦᏯ, ᎾᏍᎩ ᏗᎨᏫ ᏂᎨᏎ ᎤᏕᏅ.","And as he passed by, he saw a man blind from his birth."
3529,rejected,source_tag,"ᎿᏉ ᎠᏆᏓᏅᏙ ᎡᏕᏯᏔᏁᎭ; ᎦᏙᏃ ᏓᎦᏛᏂ? [ᎯᎠᏍᎪ ᏅᏓᏥᏪᏏ,] ᎡᏙᏓ, ᏍᏊᏓᎳᎩ ᎪᎯ ᎨᏒᎢ? ᎠᏎᏃ ᎾᏍᎩ ᎢᏳᏍᏗ ᏣᎩᏍᏆᎸᎡ ᎪᎯ ᎠᎩᏍᏆᎸᎡᏗᏱ ᎠᎩᎷᏥᎸ.","Now is my soul troubled; and what shall I say? Father, save me from this hour. But for this cause came I unto this hour."
3646,rejected,source_tag,"ᎠᏎᏃ [ᎾᏍᎩ ᏄᎵᏍᏔᏅᎩ] ᎤᏙᎯᏳᏗᏱ ᎠᏰᎸᏒ ᎤᎵᏁᏨ ᎯᎠ ᏥᏂᎬᏅ ᏥᎪᏪᎳ ᏧᏂᎧᎿᏩᏛᏍᏗᏱ; ᎠᏎᏉ ᎬᎩᏍᎦᎬᎩ.""""","But this cometh to pass, that the word may be fulfilled that is written in their law, They hated me without a cause."
3739,rejected,source_tag,"[ᎾᏍᎩ ᏄᎵᏍᏔᏅᎩ] ᎤᏙᎯᏳᏗᏱ ᏥᏌ ᎤᏁᏨᎢ, ᎦᏛᎬ ᎢᏳᎵᏍᏓᏁᏗᏱ ᎤᏲᎱᎯᏍᏗᏱ.","that the word of Jesus might be fulfilled, which he spake, signifying by what manner of death he should die."
3849,rejected,source_tag,"ᏚᏂᎳᏫᏨᏃ ᏚᏁᏤᎴ ᏥᎷᏏᎵᎻ ᎤᏂᎷᎪᎢᏍᏗᏱ ᏂᎨᏒᎾ, ᎤᏂᎦᏘᏗᏍᏗᏱᏍᎩᏂ ᎠᎦᏴᎵᎨ ᎤᏚᎢᏍᏔᏅᎢ, ᎾᏍᎩ ᏍᎩᏯᏛᎦᏁᎸᎯ ᏥᎩ, [ᏚᏬᏎᎴᎢ.]","and, being assembled together with them, he charged them not to depart from Jerusalem, but to wait for the promise of the Father, which, said he, ye heard from me:"
4028,rejected,source_tag,ᎾᏍᎩᏃ ᎨᏥᏅᏏᏛ ᎠᏂᏅ ᎢᎬᏱᏗᏢ ᏚᏂᎧᏁᎢ; [ᎨᏥᏅᏛᏃ] ᎤᎾᏓᏙᎵᏍᏔᏅ ᏚᎾᏏᏔᏕᎢ.,"whom they set before the apostles: and when they had prayed, they laid their hands upon them."
4039,rejected,source_tag,"[ᏍᏗᏫᏃ] ᎯᎠ ᏄᏪᏎᎢ; ᎢᏥᏍᎦᏯ ᎢᏓᏓᏅᏟ ᎠᎴ ᏗᎩᏙᏓ, ᎢᏣᏛᏓᏍᏓ. ᎤᏁᎳᏅᎯ ᎠᏥᎸᏉᏗ ᎬᏂᎨᏒ ᏄᏛᏁᎴ ᎢᎩᏙᏓ ᎡᏆᎭᎻ ᎾᏍᎩ ᎾᎯᏳ ᎺᏌᏆᏕᎻ ᏤᎮᎢ, ᎠᏏᏉ ᎨᎳᏂ ᎾᏁᎳᏗᏍᎬᎾ ᏥᎨᏎᎢ;","And he said, Brethren and fathers, hearken: The God of glory appeared unto our father Abraham, when he was in Mesopotamia, before he dwelt in Haran,"
4068,rejected,source_tag,"ᎼᏏᏃ ᎤᎪᎲ ᎤᏍᏆᏂᎪᏎ ᏄᏍᏛ ᎠᎪᏩᏘᏍᎬᎢ. ᎤᎪᎵᏰᏗᏱᏃ ᎤᏰᎸᏅ ᎾᎥ ᏭᎷᏨ ᏗᎪᎵ-ᏰᏎᎢ, ᎤᎬᏫᏳᎯ ᎧᏁᎬ ᎤᏛᎦᏁ [ᎯᎠ ᏂᎦᏪᏍᎨᎢ;]","And when Moses saw it, he wondered at the sight: and as he drew near to behold, there came a voice of the Lord,"
4321,rejected,source_tag,"ᎾᏍᎩ ᎢᏳᏍᏗ ᎢᏣᏅᏖᏍᏗ ᎢᏥᏍᎦᏯ ᏗᏓᏓᏅᏟ, ᎾᏍᎩ ᎯᎠ [ᎠᏍᎦᏯ] ᎢᏳᏩᏂᏌᏛ ᎡᏥᏃᏁᎭ ᎦᏰᏥᏙᎵᏍᏗ ᎨᏒ ᎢᏥᏍᎦᏅᏨᎢ.","Be it known unto you therefore, brethren, that through this man is proclaimed unto you remission of sins:"
4330,rejected,source_tag,"ᎾᏍᎩᏰᏃ ᏄᏍᏗ ᎤᎬᏫᏳᎯ ᎣᎩᏂᏁᏤᎸ, [ᎯᎠ ᏂᎦᏪᎭ;] ᎬᏯᎧᏅ ᎢᎦ ᏔᏘᏍᏓᏁᏗᏱ ᏧᎾᏓᎴᏅᏛ ᏴᏫ, ᎤᎵᏍᏕᎸᏙᏗ ᎢᏣᎵᏍᏙᏗᏱ ᎡᎶᎯ ᏂᎬᎾᏛᎢ.""""","For so hath the Lord commanded us, saying, I have set thee for a light of the Gentiles, That thou shouldest be for salvation unto the uttermost part of the earth."
4566,rejected,source_tag,"[ᎠᎴ ᎢᏥᎦᏔᎭ] ᎪᎱᏍᏗ ᎢᏣᎵᏍᏕᎸᏙᏗ ᎠᏋᏍᎦᎳᏅᎯ ᏂᎨᏒᎾ ᎨᏒᎢ, ᎢᏨᎾᏄᎪᏫᏎᎸᏉᏍᎩᏂ ᎠᎴ ᏕᏨᏰᏲᏅ ᏕᎦᎳᏫᎥᎢ ᎠᎴ ᏓᏓᏁᎳᏗᏒᎢ,","how I shrank not from declaring unto you anything that was profitable, and teaching you publicly, and from house to house,"
