line_number,status,reasons,domain,training_exclusion_reasons,repaired_cherokee,repaired_english,raw_columns
3940,accepted_after_repair,,story_narrative,named_entity_heavy|latin_heavy_left,"ᎯᎠᏃ ᏅᏓᎦᎵᏍᏔᏂ ᎾᏍᎩ ᎩᎶ ᏂᎪᎯᏳᎲᏍᎬᎾ ᎢᎨᏎᏍᏗ ᎾᏍᎩ ᎠᏙᎴᎰᏍᎩ, ᎠᏥᏛᏙᏗ ᎠᎨᎳᏗᏍᏗ ᎨᏎᏍᏗ ᎤᏓᏑᏴ ᏴᏫ ᎠᏁᎲᎢ."", And it shall be, that every soul that shall not hearken to that prophet","shall be utterly destroyed from among the people.""","ᎯᎠᏃ ᏅᏓᎦᎵᏍᏔᏂ ᎾᏍᎩ ᎩᎶ ᏂᎪᎯᏳᎲᏍᎬᎾ ᎢᎨᏎᏍᏗ ᎾᏍᎩ ᎠᏙᎴᎰᏍᎩ, ᎠᏥᏛᏙᏗ ᎠᎨᎳᏗᏍᏗ ᎨᏎᏍᏗ ᎤᏓᏑᏴ ᏴᏫ ᎠᏁᎲᎢ."", And it shall be || that every soul that shall not hearken to that prophet || shall be utterly destroyed from among the people."""
3968,accepted_after_repair,,general_parallel,named_entity_heavy,"ᎯᏅᏏᏓᏍᏗ ᏕᏫ ᎠᎰᎵ ᏨᏔᏅᎯ ᎯᎠ ᎢᏣᏪᏛ ᏥᎩ; ᎦᏙᏃ ᏧᎾᏓᎴᏅᏛ ᏴᏫ ᎤᏂᏔᎳᏬᏎᎢ, ᎠᎴ ᏴᏫ ᎤᎾᏓᏅᏖᎴ ᎢᏳᎾᏛᏁᏗᏱ ᎾᏍᎩ ᎢᎬᏩᎵᏍᏙᏗ ᏂᎨᏒᎾ ᎨᏒᎢ.""","who by the Holy Spirit, by the mouth of our father David thy servant, didst say, Why did the Gentiles rage, And the peoples imagine vain things?","ᎯᏅᏏᏓᏍᏗ ᏕᏫ ᎠᎰᎵ ᏨᏔᏅᎯ ᎯᎠ ᎢᏣᏪᏛ ᏥᎩ; ᎦᏙᏃ ᏧᎾᏓᎴᏅᏛ ᏴᏫ ᎤᏂᏔᎳᏬᏎᎢ || ᎠᎴ ᏴᏫ ᎤᎾᏓᏅᏖᎴ ᎢᏳᎾᏛᏁᏗᏱ ᎾᏍᎩ ᎢᎬᏩᎵᏍᏙᏗ ᏂᎨᏒᎾ ᎨᏒᎢ."" || who by the Holy Spirit, by the mouth of our father David thy servant, didst say, Why did the Gentiles rage, And the peoples imagine vain things?"
3969,accepted_after_repair,,story_narrative,named_entity_heavy|latin_heavy_left,"ᎤᏂᎬᏫᏳᎯ ᎡᎶᎯ ᎠᏁᎯ ᏚᎾᎴᏅᎩ, ᎠᎴ ᎠᏰᎵᏧᏂᎸᏫᏍᏓᏁᎯ ᏚᏂᎳᏫᏨᎩ ᎠᎾᏡᏗᏍᎬ ᎤᎬᏫᏳᎯ ᎠᎴ ᎠᎾᏡᏗᏍᎬ ᎤᏤᎵ ᎦᎶᏁᏛ."", The kings of the earth set themselves in array, And the rulers were gathered together, Against the Lord","and against his Anointed:""","ᎤᏂᎬᏫᏳᎯ ᎡᎶᎯ ᎠᏁᎯ ᏚᎾᎴᏅᎩ, ᎠᎴ ᎠᏰᎵᏧᏂᎸᏫᏍᏓᏁᎯ ᏚᏂᎳᏫᏨᎩ ᎠᎾᏡᏗᏍᎬ ᎤᎬᏫᏳᎯ ᎠᎴ ᎠᎾᏡᏗᏍᎬ ᎤᏤᎵ ᎦᎶᏁᏛ."", The kings of the earth set themselves in array || And the rulers were gathered together || Against the Lord || and against his Anointed:"""
4043,accepted_after_repair,,general_parallel,,"ᎤᏁᎳᏅᎯᏃ ᎯᎠ ᏄᏪᏎᎢ; ᏣᏁᏢᏔᏅᏛ ᎠᏁᏙᎯ ᎨᏎᏍᏗ ᎾᎿ ᎤᎾᏤ-ᎵᎪᎯ ᏂᎨᏒᎾ ᎨᏒᎢ, ᎠᎴ ᎾᎿ ᎠᏁᎯ ᏙᏓᎬᏩᏂᎾᏢᏂ ᎠᎴ ᎤᏲ ᏅᏓᎬᏅᏁᎵ ᏅᎩᏧᏈ ᏧᏕᏘᏴᏛ.""","And God spake on this wise, that his seed should sojourn in a strange land, and that they should bring them into bondage, and treat them ill, four hundred years.","ᎤᏁᎳᏅᎯᏃ ᎯᎠ ᏄᏪᏎᎢ; ᏣᏁᏢᏔᏅᏛ ᎠᏁᏙᎯ ᎨᏎᏍᏗ ᎾᎿ ᎤᎾᏤ-ᎵᎪᎯ ᏂᎨᏒᎾ ᎨᏒᎢ || ᎠᎴ ᎾᎿ ᎠᏁᎯ ᏙᏓᎬᏩᏂᎾᏢᏂ ᎠᎴ ᎤᏲ ᏅᏓᎬᏅᏁᎵ ᏅᎩᏧᏈ ᏧᏕᏘᏴᏛ."" || And God spake on this wise, that his seed should sojourn in a strange land, and that they should bring them into bondage, and treat them ill, four hundred years."
4063,accepted_after_repair,,general_parallel,,"ᎤᎩᏨᏛᏃ ᏚᎾᏄᎪᏤᎴ ᎠᎾᎵᎲᎢ, ᎠᎴ ᎦᎪᎯᏍᏓᏁᎮ ᎯᎠ ᏄᏪᏎᎢ; ᎢᏍᏗᏍᎦᏯ, ᏗᏍᏓᏓᏅᏟᏉ; ᎦᏙᏃ ᎤᏲ ᏂᏙᏍᏓᏓᏛᏁᎭ?""""","And the day following he appeared unto them as they strove, and would have set them at one again, saying, Sirs, ye are brethren; why do ye wrong one to another?","ᎤᎩᏨᏛᏃ ᏚᎾᏄᎪᏤᎴ ᎠᎾᎵᎲᎢ, ᎠᎴ ᎦᎪᎯᏍᏓᏁᎮ ᎯᎠ ᏄᏪᏎᎢ; ᎢᏍᏗᏍᎦᏯ || ᏗᏍᏓᏓᏅᏟᏉ; ᎦᏙᏃ ᎤᏲ ᏂᏙᏍᏓᏓᏛᏁᎭ?"""" || And the day following he appeared unto them as they strove, and would have set them at one again, saying, Sirs, ye are brethren; why do ye wrong one to another?"
4069,accepted_after_repair,,general_parallel,named_entity_heavy,"ᎠᏴ ᎤᏁᎳᏅᎯ ᏗᏣᎦᏴᎵᎨ ᎤᎾᏤᎵᎦ, ᎤᏁᎳᏅᎯ ᎡᏆᎭᎻ ᎤᏤᎵᎦ, ᎠᎴ ᎤᏁᎳᏅᎯ ᎡᏏᎩ ᎤᏤᎵᎦ, ᎠᎴ ᎤᏁᎳᏅᎯ ᏤᎦᏈ ᏅᏤᎵᎦ."" ᎣᏏᏃ ᎤᏪᎿᏪᎢ, ᎠᎴ ᎤᏍᎦᎴ ᎤᎪᎵᏰᏗᏱ.""","I am the God of thy fathers, the God of Abraham, and of Isaac, and of Jacob. And Moses trembled, and durst not behold.","ᎠᏴ ᎤᏁᎳᏅᎯ ᏗᏣᎦᏴᎵᎨ ᎤᎾᏤᎵᎦ || ᎤᏁᎳᏅᎯ ᎡᏆᎭᎻ ᎤᏤᎵᎦ || ᎠᎴ ᎤᏁᎳᏅᎯ ᎡᏏᎩ ᎤᏤᎵᎦ || ᎠᎴ ᎤᏁᎳᏅᎯ ᏤᎦᏈ ᏅᏤᎵᎦ."" ᎣᏏᏃ ᎤᏪᎿᏪᎢ || ᎠᎴ ᎤᏍᎦᎴ ᎤᎪᎵᏰᏗᏱ."" || I am the God of thy fathers, the God of Abraham, and of Isaac, and of Jacob. And Moses trembled, and durst not behold."
4070,accepted_after_repair,,general_parallel,,"ᎤᎬᏫᏳᎯᏃ ᎯᎠ ᏄᏪᏎᎴᎢ; ᏔᎳᏑᎳᎩ, ᎾᎿᏰᏃ ᏥᏙᎦ ᎦᎸᏉᏗᏳ ᎦᏙᎯ.""","And the Lord said unto him, Loose the shoes from thy feet: for the place whereon thou standest is holy ground.","ᎤᎬᏫᏳᎯᏃ ᎯᎠ ᏄᏪᏎᎴᎢ; ᏔᎳᏑᎳᎩ || ᎾᎿᏰᏃ ᏥᏙᎦ ᎦᎸᏉᏗᏳ ᎦᏙᎯ."" || And the Lord said unto him, Loose the shoes from thy feet: for the place whereon thou standest is holy ground."
4071,accepted_after_repair,,story_narrative,named_entity_heavy|latin_heavy_left,"ᎤᏙᎯᏳᎯᏯ ᎠᎩᎪᎲ ᎤᏲ ᏄᎾᎵᏍᏓᏁᎵᏕᎬ ᏴᏫ ᏗᏆᏤᎵ ᎢᏥᏈᏱ ᏣᏁᎭ, ᎠᎴ ᎠᏆᏛᎦᏅ ᏚᏂᎵᏰᏗᏍᎬᎢ, ᎠᎴ ᎠᏆᏠᏱᏏᎸ ᏕᎫᏓᎴᏏᎸ; Ꭷ ᎿᏉ ᏓᎬᏅᏏ ᎢᏥᏈᏱ."", I have surely seen the affliction of my people that is in Egypt, and have heard their groaning, and I am come down to deliver them: and now come","I will send thee into Egypt.""","ᎤᏙᎯᏳᎯᏯ ᎠᎩᎪᎲ ᎤᏲ ᏄᎾᎵᏍᏓᏁᎵᏕᎬ ᏴᏫ ᏗᏆᏤᎵ ᎢᏥᏈᏱ ᏣᏁᎭ, ᎠᎴ ᎠᏆᏛᎦᏅ ᏚᏂᎵᏰᏗᏍᎬᎢ, ᎠᎴ ᎠᏆᏠᏱᏏᎸ ᏕᎫᏓᎴᏏᎸ; Ꭷ ᎿᏉ ᏓᎬᏅᏏ ᎢᏥᏈᏱ."", I have surely seen the affliction of my people that is in Egypt || and have heard their groaning || and I am come down to deliver them: and now come || I will send thee into Egypt."""
4079,accepted_after_repair,,general_parallel,named_entity_heavy,"ᎿᏉᏃ ᎤᏁᎳᏅᎯ ᎤᎦᏔᎲᏎᎢ, ᎠᎴ ᎤᎾᏁᎳᎩ ᏫᏓᏂᎸᏉᏓ ᎤᏂᏣᏘ ᎦᎸᎶ ᎠᏁᎯ ᏚᏪᎵᏎᎴᎢ, ᎾᏍᎩᏯ ᎯᎠ ᏥᏂᎬᏅ ᏥᎪᏪᎳ ᎠᎾᏙᎴᎰᏍᎩ ᏧᏃᏪᎳᏅᎯ; ᏂᎯ ᎢᏏᎵ ᏏᏓᏁᎸᎯ ᎨᏒᎢ, ᏥᎪ ᏕᏍᎩᏃᎮᎸ ᏗᎸᎯ ᎦᎾᏝᎢ ᎠᎴ ᎠᏥᎸ-ᎨᎳᏍᏗ ᏅᎦᏍᎪᎯ ᏥᎾᏕᏘᏴ ᎢᎾᎨᎢ?""","But God turned, and gave them up to serve the host of heaven; as it is written in the book of the prophets, Did ye offer unto me slain beasts and sacrifices Forty years in the wilderness, O house of Israel?","ᎿᏉᏃ ᎤᏁᎳᏅᎯ ᎤᎦᏔᎲᏎᎢ, ᎠᎴ ᎤᎾᏁᎳᎩ ᏫᏓᏂᎸᏉᏓ ᎤᏂᏣᏘ ᎦᎸᎶ ᎠᏁᎯ ᏚᏪᎵᏎᎴᎢ, ᎾᏍᎩᏯ ᎯᎠ ᏥᏂᎬᏅ ᏥᎪᏪᎳ ᎠᎾᏙᎴᎰᏍᎩ ᏧᏃᏪᎳᏅᎯ; ᏂᎯ ᎢᏏᎵ ᏏᏓᏁᎸᎯ ᎨᏒᎢ || ᏥᎪ ᏕᏍᎩᏃᎮᎸ ᏗᎸᎯ ᎦᎾᏝᎢ ᎠᎴ ᎠᏥᎸ-ᎨᎳᏍᏗ ᏅᎦᏍᎪᎯ ᏥᎾᏕᏘᏴ ᎢᎾᎨᎢ?"" || But God turned, and gave them up to serve the host of heaven; as it is written in the book of the prophets, Did ye offer unto me slain beasts and sacrifices Forty years in the wilderness, O house of Israel?"
4080,accepted_after_repair,,story_narrative,named_entity_heavy|latin_heavy_left,"ᎢᏥᎲᏒᏰᏃ ᎦᎵᏦᏙᏗ ᎼᎳᎩ ᎤᏤᎵᎦ ᎠᎴ ᎤᏁᎳᏅᎯ ᎢᏥᏰᎸᎯ ᎴᎻᏈᏂ ᎤᏤᎵᎦ ᏃᏈᏏ, ᏗᏟᎶᏍᏔᏅᎯ ᎾᏍᎩ ᏗᏦᏢᏅᎯ ᏗᏣᏓᏙᎵᏍᏓᏁᏗ; ᏓᏗᎶᏂᏃ ᎤᏗᏗᏢ ᏫᏙᏓᏨᏯᎧᏂ."", And ye took up the tabernacle of Moloch, And the star of the god Rephan","The figures which ye made to worship them: And I will carry you away beyond Babylon.""","ᎢᏥᎲᏒᏰᏃ ᎦᎵᏦᏙᏗ ᎼᎳᎩ ᎤᏤᎵᎦ ᎠᎴ ᎤᏁᎳᏅᎯ ᎢᏥᏰᎸᎯ ᎴᎻᏈᏂ ᎤᏤᎵᎦ ᏃᏈᏏ, ᏗᏟᎶᏍᏔᏅᎯ ᎾᏍᎩ ᏗᏦᏢᏅᎯ ᏗᏣᏓᏙᎵᏍᏓᏁᏗ; ᏓᏗᎶᏂᏃ ᎤᏗᏗᏢ ᏫᏙᏓᏨᏯᎧᏂ."", And ye took up the tabernacle of Moloch || And the star of the god Rephan || The figures which ye made to worship them: And I will carry you away beyond Babylon."""
